,name,id,lat,lon,capacity,closest_district
366,"Marloes Road, Kensington",384,51.496481,-0.192404,15,Kensington and Chelsea
367,"Moor Street, Soho",386,51.51352755,-0.130110822,16,Lambeth
368,"Fire Brigade Pier, Vauxhall",387,51.49369988,-0.12139410099999999,30,Lambeth
369,"Southampton Street, Strand",388,51.51070161,-0.121723604,14,Lambeth
370,"Upper Grosvenor Street, Mayfair",389,51.51013066,-0.155757901,18,Westminster
371,"Buxton Street 1, Shoreditch",390,51.521776,-0.068856,41,City of London
372,"Imperial College, Knightsbridge",392,51.49942855,-0.17970247600000003,21,Kensington and Chelsea
373,"Snow Hill, Farringdon",393,51.51733427,-0.10360424800000001,15,City of London
374,"Aberdeen Place, St. John's Wood",394,51.524826000000004,-0.176268,18,Camden
375,"Cadogan Gardens, Chelsea",395,51.492461999999996,-0.159919,15,Westminster
376,"Shouldham Street, Marylebone",396,51.51809,-0.163609,16,Westminster
377,"Devonshire Terrace, Bayswater",397,51.51348,-0.17977,16,Kensington and Chelsea
378,"Holland Park, Kensington",398,51.502319,-0.200742,30,Kensington and Chelsea
379,"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961,24,City of London
380,"George Street, Marylebone",400,51.517703000000004,-0.154106,26,Westminster
381,"Columbia Road, Shoreditch",401,51.528187,-0.075375,24,City of London
382,"Penfold Street, Marylebone",402,51.52289229,-0.171681991,15,Camden
383,"George Place Mews, Marylebone",403,51.51689296,-0.158249929,16,Westminster
384,"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,13,Kensington and Chelsea
385,"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,15,Kensington and Chelsea
